index,user,item,text,position,test,errors_perc,complexity,age,italian,group,readedu,digital,admin,avg_coll_sent,avg_mw_ent_sent,participles_verbs,indicative_verbs,ratio_sub_tot,depth_parse_tree,avg_prep_chain_length,common_nominal_type_adjacent_sents,devnouns_nouns,perc_vfo,avg_sent_length,abstract_nouns,avg_asides
175,hdhDG,BS,B,1,4,0,simple,over60,L1,elderly,2.333333333,4,1.5,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
179,RR2W5,BS,B,1,4,75,simple,over60,L1,elderly,2,3,4,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
187,a6GEG,BS,B,1,4,25,simple,over60,L1,elderly,1.333333333,3,4,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
193,16rpJ,BS,B,1,4,0,simple,over60,L1,elderly,1.5,3.5,3,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
221,1R0TD,BS,B,1,4,0,simple,over60,L1,elderly,2.333333333,2.5,2.5,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
176,hdhDG,DO,D,2,4,0,complex,over60,L1,elderly,2.333333333,4,1.5,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
180,RR2W5,DO,D,2,4,25,complex,over60,L1,elderly,2,3,4,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
188,a6GEG,DO,D,2,4,0,complex,over60,L1,elderly,1.333333333,3,4,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
194,16rpJ,DO,D,2,4,50,complex,over60,L1,elderly,1.5,3.5,3,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
222,1R0TD,DO,D,2,4,0,complex,over60,L1,elderly,2.333333333,2.5,2.5,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
